"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Bi, Enbing","2017-06-12","Diffusion engineering of ions and charge carriers for stable efficient perovskite solar cells","https://www.nature.com/articles/ncomms15330","10.1038/ncomms15330","SLG | FTO","nimglio","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","","","","","Spin-coating","1000 rpm 10 s 5000 rpm 20 s","","Spin-coating","","","Evaporation","100 nm"
"Cao, Yiming","2017-06-09","11% efficiency solid-state dye-sensitized solar cells with copper(II/I) hole transport materials","https://www.nature.com/articles/ncomms15390","10.1038/ncomms15390","SLG | FTO","PEDOT","Cs2SnI6","CsSnI","Cs","2.0","Sn","1.0","I","6.0","TiO2","Cu","FALSE","pin","","","","","","","","","","Evaporation",""
"Zhang, Liuqi","2017-06-07","Ultra-bright and highly efficient inorganic based perovskite light-emitting diodes","https://www.nature.com/articles/ncomms15640","10.1038/ncomms15640","SLG | ITO","MoO3","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","ZnO","Al","FALSE","","Spin-coating","2000 rpm 1 min","150 C 15 min","Spin-coating","2000 rpm 2 min","","","","","Evaporation",""
"Grancini, G.","2017-06-01","One-Year stable perovskite solar cells by 2D/3D interface engineering","https://www.nature.com/articles/ncomms15684","10.1038/ncomms15684","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","1000 rpm 10 s 4500 rpm 30 s","","Spin-coating","1000 rpm 10 s","500 C 30 min","Evaporation","100 nm"
"Hu, Qin","2017-06-21","In situ dynamic observations of perovskite crystallisation and microstructure evolution intermediated from [PbI6]4− cage nanoparticles","https://www.nature.com/articles/ncomms15688","10.1038/ncomms15688","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC61BM","Ag","FALSE","pin","Spin-coating","","135 C 20 min","Spin-coating","","80 C 5 min","Slot-die coating","","","Evaporation","100 nm"
"He, Ming","2017-07-07","Meniscus-assisted solution printing of large-grained perovskite films for high-efficiency solar cells","https://www.nature.com/articles/ncomms16045","10.1038/ncomms16045","PET | FTO","PTAA","FA0.85MA0.15PbI2.55Br0.45","FAMAPbIBr","MA, FA","0.15, 0.85","Pb","1.0","Br, I","0.45, 2.55","PCBM","Ag","TRUE","","Spin-coating","5000 rpm 30 s","100 C 5 min","Spin-coating","1000 rpm 5 s 4000 rpm 30 s","150 C 20 min","Spin-coating","3000 rpm 30 s","","Evaporation","200 nm"
"Kim, Hui-Seon","2013-07-31","Mechanism of carrier accumulation in perovskite thin-absorber solar cells","https://www.nature.com/articles/ncomms3242","10.1038/ncomms3242","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","","","Spin-coating","","60 C 12 h","Spin-coating","","","Evaporation","70 nm"
"Docampo, Pablo","2013-11-12","Efficient organometal trihalide perovskite planar-heterojunction solar cells on flexible polymer substrates","https://www.nature.com/articles/ncomms3761","10.1038/ncomms3761","PET | FTO","pedot:pss","UNKNOWN","","","","","","","","PCBM","Ag","TRUE","pin","Spin-coating","1000 rpm 45 s","150 C 20 min","Spin-coating","2000 rpm 20 s","100 C 45 min","Spin-coating","1000 rpm 45 s","130 C 10 min","Evaporation","80-120 nm"
"Edri, Eran","2014-03-11","Elucidating the charge carrier separation and working mechanism of CH3NH3PbI3−xClx perovskite solar cells","https://www.nature.com/articles/ncomms4461","10.1038/ncomms4461","SLG | FTO","spiro-meotad","MAPbI2Cl","MAPbICl","MA","1.0","Pb","1.0","Cl, I","1.0, 2.0","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","500 rpm 30 s","100 C 45 min","","","","Evaporation","100 nm"
"Qin, Peng","2014-05-12","Inorganic hole conductor-based lead halide perovskite solar cells with 12.4% conversion efficiency","https://www.nature.com/articles/ncomms4834","10.1038/ncomms4834","SLG | FTO","CuSCN","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","Doctor blading","","","Spin-coating","6500 rpm 18 s","","Spin-coating","5000 rpm 25 s","","Evaporation","50 nm"
"Bergmann, Victor W.","2014-09-22","Real-space observation of unbalanced charge distribution inside a perovskite-sensitized solar cell","https://www.nature.com/articles/ncomms6001","10.1038/ncomms6001","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","6500 rpm 30 s","70 C 30 min","Spin-coating","5000 rpm 30 s","","Evaporation","150 nm"
"Shao, Yuchuan","2014-12-15","Origin and elimination of photocurrent hysteresis by fullerene passivation in CH3NH3PbI3 planar heterojunction solar cells","https://www.nature.com/articles/ncomms6784","10.1038/ncomms6784","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","pin","Spin-coating","","110 C 20 min","Spin-coating","","","Spin-coating","","","Evaporation","100 nm"
"Zhang, Wei","2015-01-30","Ultrasmooth organic–inorganic perovskite thin-film formation and crystallization for efficient planar heterojunction solar cells","https://www.nature.com/articles/ncomms7142","10.1038/ncomms7142","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","","","","Spin-coating","","100 C 5 min 100 C 2 h 150 C 40 min","Spin-coating","","500 C 30 min","Evaporation","80-120 nm"
