"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Substrate","HTL","Perovskite_composition","Perovskite_composition_short_form","Perovskite_composition_a_ions","Perovskite_composition_a_ions_coefficients","Perovskite_composition_b_ions","Perovskite_composition_b_ions_coefficients","Perovskite_composition_c_ions","Perovskite_composition_c_ions_coefficients","ETL","Top_contact","Cell_flexible","Cell_architecture","HTL_deposition","HTL_spin_coating_parameters","HTL_annealing_parameters","Perovskite_deposition","Perovskite_spin_coating_parameters","Perovskite_annealing_parameters","ETL_deposition","ETL_spin_coating_parameters","ETL_annealing_parameters","Top_contact_deposition","Top_contact_thickness"
"Peng Zhou","2018/05/09","Efficient and stable mixed perovskite solar cells using P3HT as a hole transporting layer  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01345d","10.1039/C8TC01345D","SLG | FTO","P3HT","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","pin","Spin-coating","3000 rpm 30 s","","Spin-coating","6000 rpm 30 s","","Spin-coating","","","Evaporation","60 nm"
"Xinpeng Shen","2018/07/24","Improved air-stability of an organic–inorganic perovskite with anhydrously transferred graphene  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01507d","10.1039/C8TC01507D","SLG | FTO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","CdS","","FALSE","pin","","","","Spin-coating","2500 rpm 30 s","","","","","",""
"Yawen Liu","2018/05/30","Dimethyl-sulfoxide-assisted improvement in the crystallization of lead-acetate-based perovskites for high-performance solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01570h","10.1039/C8TC01570H","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","Spin-coating","4500 rpm 30 s","140 C 15 min","Spin-coating","","","Spin-coating","1000 rpm 30 s","","Evaporation","100 nm"
"Kisu Lee","2018/06/04","Efficient and moisture-resistant hole transport layer for inverted perovskite solar cells using solution-processed polyaniline  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01870g","10.1039/C8TC01870G","PET | FTO","pedot:pss","Cs0.05MA0.16FA0.79Pb(I0.84Br0.16)3","CsMAFAPbIBr","FA, MA, Cs","0.79, 0.16, 0.05","Pb","1.0","Br, I","0.48, 2.52","PCBM","Au","TRUE","pin","Spin-coating","5000 rpm 20 min","120 C 20 min","Spin-coating","1000 rpm 10 s 5000 rpm 23 s","","Spin-coating","2500 rpm 40 s","","Evaporation","65 nm"
"Heyong Wang","2018/06/06","Efficient perovskite light-emitting diodes based on a solution-processed tin dioxide electron transport layer  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01871e","10.1039/C8TC01871E","SLG | ITO","MoO3","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","SnO2","Ag","FALSE","","","","","Spin-coating","5000 rpm 30 s 4000 rpm 45 s","","Spin-coating","5000 rpm 30 s","150 C 15 min","Evaporation","80-120 nm"
"Isabella Poli","2018/06/16","Enhancing the hydrophobicity of perovskite solar cells using C18 capped CH 3 NH 3 PbI 3 nanocrystals  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01939h","10.1039/C8TC01939H","SLG | FTO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","pin","Spin-coating","4000 rpm 30 s","400 C 30 min","Spin-coating","4000 rpm 30 s","100 C 2 min","Spin-coating","","","Evaporation","100 nm"
"Junwei Chang","2018/06/08","Carboxylic ester-terminated fulleropyrrolidine as an efficient electron transport material for inverted perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01955j","10.1039/C8TC01955J","SLG | ITO","P3CT","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","","","","","","","","","","","Evaporation",""
"Hong Duc Pham","2018/07/27","Acene-based organic semiconductors for organic light-emitting diodes and perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc01956h","10.1039/C8TC01956H","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","TRUE","pin","Spin-coating","3000 rpm 10 min","150 C 10 min","","","","Spin-coating","1000 rpm 60 s","","Evaporation","120 nm"
"Zhi Yang","2018/05/30","Flexible all-inorganic photoconductor detectors based on perovskite/hole-conducting layer heterostructures  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02093k","10.1039/C8TC02093K","PET | ITO","CuSCN","CsPbBr3","CsPbBr","Cs","1.0","Pb","1.0","Br","3.0","ZnO","Au","TRUE","","Spin-coating","3000 rpm 60 s","120 C 10 min","","","","","","","Evaporation","60-100 nm"
"Chongyang Xu","2018/06/04","High-performance metal oxide-free inverted perovskite solar cells using poly(bis(4-phenyl)(2,4,6-trimethylphenyl)amine) as the hole transport layer  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02241k","10.1039/C8TC02241K","PEN | ITO","pedot:pss","UNKNOWN","","","","","","","","PCBM","Ag","TRUE","pin","Spin-coating","1000 rpm 60 s","","Spin-coating","4500 rpm 30 s","100 C 5 min","Spin-coating","1000 rpm 30 s","","Evaporation","80-120 nm"
"Artiom Magomedov","2018/07/12","Pyridination of hole transporting material in perovskite solar cells questions the long-term stability  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02242a","10.1039/C8TC02242A","SLG | FTO","spiro-ometad","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","Au","FALSE","nip","","","","Spin-coating","2000 rpm 10 s","100 C 90 min","","","","Evaporation","70 nm"
"Ermioni Polydorou","2018/07/04","Insights into the passivation effect of atomic layer deposited hafnium oxide for efficiency and stability enhancement in organic solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02243g","10.1039/C8TC02243G","SLG | FTO","P3HT","UNKNOWN","","","","","","","","ZnO","Al","FALSE","","Spin-coating","800 rpm 30 s","150 C 10 min","","","","","","","Evaporation","150 nm"
"Chenglin Gao","2018/07/16","Additive engineering to improve the efficiency and stability of inverted planar perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02507j","10.1039/C8TC02507J","SLG | ITO","PTAA","δ-FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","PCBM","Al","FALSE","","Spin-coating","","105 C 10 min","Spin-coating","","","Spin-coating","1500 rpm 20 s","","Evaporation","100 nm"
"Shivam Singh","2018/09/11","Influence of solvent additive on the chemical and electronic environment of wide bandgap perovskite thin films  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02754d","10.1039/C8TC02754D","SLG | ITO","pedot:pss","MAPbBr3","MAPbBr","MA","1.0","Pb","1.0","Br","3.0","PC61BM","Ag","FALSE","pin","Spin-coating","5000 rpm 45 s","120 C 20 min","Spin-coating","1000 rpm 10 s 5000 rpm 20 s","","Spin-coating","1000 rpm 60 s","","Evaporation","80-120 nm"
"Rui Wang","2018/07/17","Electron extraction layer based on diketopyrrolopyrrole/isoindigo to improve the efficiency of inverted perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02766h","10.1039/C8TC02766H","SLG | ITO","p3ct-na","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","tpe-dpp4","Al","TRUE","","Spin-coating","4000 rpm 60 s","140 C 30 min","Spin-coating","400 rpm 3 s 5000 rpm 30 s","","Spin-coating","","","Evaporation","80-120 nm"
"Lixin Hou","2018/07/23","18.0% efficiency flexible perovskite solar cells based on double hole transport layers and CH 3 NH 3 PbI 3−x Cl x with dual additives ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02906g","10.1039/C8TC02906G","PET | ITO","NiO","UNKNOWN","","","","","","","","TIPD","Al","TRUE","pin","","","","Spin-coating","6000 rpm 60 min","100 C 60 min","Spin-coating","1500 rpm 60 s","","Evaporation",""
"Siraj Sidhik","2018/06/29","Modulating the grain size, phase and optoelectronic quality of perovskite films with cesium iodide for high-performance solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc02923g","10.1039/C8TC02923G","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","","","","Spin-coating","5000 rpm 40 s","","Spin-coating","","","Evaporation","80-120 nm"
"Xuepeng Liu","2018/10/15","A star-shaped carbazole-based hole-transporting material with triphenylamine side arms for perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc04191a","10.1039/C8TC04191A","SLG | FTO","spiro-ometad","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","","","Spray pyrolysis","","","Evaporation","60-100 nm"
"Arthur Connell","2018/11/15","Low cost triazatruxene hole transporting material for >20% efficiency perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc04231d","10.1039/C8TC04231D","SLG | FTO","spiro-ometad","Cs0.17FA0.83Pb(I0.9Br0.1)3","CsFAPbIBr","FA, Cs","0.83, 0.17","Pb","1.0","Br, I","0.3, 2.7","SnO2","Ag","TRUE","nip","Spin-coating","2000 rpm 45 s","","Spin-coating","1000 rpm 32 s","100 C 60 min","","","","Evaporation","80-120 nm"
"Weina Zhang","2018/11/12","Dual interfacial modification engineering with p-type NiO nanocrystals for preparing efficient planar perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc04475a","10.1039/C8TC04475A","SLG | FTO","NiO","UNKNOWN","","","","","","","","TiO2","Au","FALSE","pin","","","","Spin-coating","4000 rpm 30 s","","Spin-coating","4000 rpm 30 s","","Evaporation","60-100 nm"
"Lyubov A. Frolova","2019/03/20","Efficient and stable all-inorganic perovskite solar cells based on nonstoichiometric Cs x PbI 2 Br x ( x > 1) alloys  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc04488k","10.1039/C8TC04488K","SLG | ITO","P3HT","CsPbI2Br","CsPbIBr","Cs","1.0","Pb","1.0","Br, I","1.0, 2.0","ZnO","Au","FALSE","nip","Spin-coating","1200 rpm 50 s","","","","","","","","Evaporation","150 nm"
"Gowri Manohari Arumugam","2018/10/22","Low threshold lasing from novel thulium-incorporated C(NH 2 ) 3 PbI 3 perovskite thin films in Fabry–Pérot resonator  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc04697b","10.1039/C8TC04697B","UNKNOWN","P3HT","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","Al2O3","Au","FALSE","","Spin-coating","","","Spin-coating","2000 rpm 60 s","","Dip-coating","","","Evaporation","60-100 nm"
"Jungyun Hong","2018/12/07","Aging-induced light-soaking effects and open-circuit voltage hysteretic behavior of inverted perovskite solar cells incorporating a hole transport metal halide layer via morphology-dependent inflow of iodide ions  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc04723e","10.1039/C8TC04723E","SLG | ITO","CuI","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","","","","","Spin-coating","","","Spin-coating","2000 rpm 1 min","","Evaporation","100 nm"
"Lan Xue","2018/11/01","From C 60 Ph 5 Cl to C 60 Ph 6 : complete phenylation of C 60 derivative renders superior organic photovoltaic performance  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc05027a","10.1039/C8TC05027A","SLG | ITO","P3HT","UNKNOWN","","","","","","","","C60","Ag","FALSE","","Spin-coating","600 rpm 60 s","150 C 10 min","","","","","","","Evaporation","80-120 nm"
"Tiqiang Pang","2018/12/10","Self-powered behavior based on the light-induced self-poling effect in perovskite-based transport layer-free photodetectors  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05045g","10.1039/C8TC05045G","PET | FTO","MoS2","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","ZnO","Al","TRUE","","","","","Spin-coating","4000 rpm 30 s","100 C 4 h","","","","Sputtering",""
"Benedikt Dänekamp","2018/11/27","Influence of hole transport material ionization energy on the performance of perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05372c","10.1039/C8TC05372C","SLG | ITO","TaTm","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C60","Ag","FALSE","pin","","","","","","","","","","Evaporation","100 nm"
"Lingfeng Li","2018/11/20","Suppressed hysteresis and enhanced performance of triple cation perovskite solar cell with chlorine incorporation  ","https://pubs.rsc.org/en/content/articlehtml/2018/tc/c8tc05484c","10.1039/C8TC05484C","SLG | FTO","spiro-ometad","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 30 s","","Spin-coating","3000 rpm 30 min","","Spin-coating","","","Evaporation","80 nm"
"Xiao-Wei Tong","2018/12/11","Inorganic CsBi 3 I 10 perovskite/silicon heterojunctions for sensitive, self-driven and air-stable NIR photodetectors  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05765f","10.1039/C8TC05765F","UNKNOWN","CuO","CsBi3I10","CsBiI","Cs","1.0","Bi","3.0","I","10.0","ZnO","Au","FALSE","","","","","Spin-coating","1500 rpm 60 s","","","","","Evaporation","50 nm"
"Michal R. Maciejczyk","2019/06/24","Beyond efficiency: phenothiazine, a new commercially viable substituent for hole transport materials in perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05773g","10.1039/C8TC05773G","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Al","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","3000 rpm 25 s","70 C 15 min","Spin-coating","","","Evaporation","80 nm"
"Daniel Prochowicz","2019/01/03","Correlation of recombination and open circuit voltage in planar heterojunction perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05837g","10.1039/C8TC05837G","SLG | FTO","spiro-meotad","FA0.83MA0.17Pb(I0.83Br0.17)3","FAMAPbIBr","MA, FA","0.17, 0.83","Pb","1.0","Br, I","0.51, 2.49","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","1000 rpm 10 s 6000 rpm 20 s","","","","","Evaporation","80 nm"
"Jinbiao Jia","2018/12/21","Improved photovoltaic performance of perovskite solar cells by utilizing down-conversion NaYF 4 :Eu 3+ nanophosphors ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05864d","10.1039/C8TC05864D","SLG | FTO","spiro-ometad","Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3","CsMAFAPbIBr","FA, MA, Cs","0.79, 0.16, 0.05","Pb","1.0","Br, I","0.51, 2.49","TiO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","1000 rpm 4 s 6000 rpm 20 s","","Spin-coating","700 rpm 8 s","550 C 30 min","Evaporation","90 nm"
"Victor A. Brotsman","2019/02/14","Double-caged fullerene acceptors: effect of alkyl chain length on photovoltaic performance  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05971c","10.1039/C8TC05971C","SLG | ITO","P3HT","UNKNOWN","","","","","","","","PCBM","Ag","FALSE","","Spin-coating","700 rpm 120 s","","","","","Spin-coating","700 rpm 120 s","","Evaporation","80-120 nm"
"Haiying Zheng","2019/03/02","The multiple effects of polyaniline additive to improve the efficiency and stability of perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05975f","10.1039/C8TC05975F","SLG | FTO","spiro-ometad","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","Au","FALSE","nip","Spin-coating","3000 rpm 20 s","","Spin-coating","1100 rpm 11 s 4600 rpm 36 s","","Spray pyrolysis","","","Evaporation","60 nm"
"George Alexandru Nemnes","2019/01/25","The hysteresis-free behavior of perovskite solar cells from the perspective of the measurement conditions  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc05999c","10.1039/C8TC05999C","SLG | FTO","spiro-ometad","MAPbI2.6Cl0.4","MAPbICl","MA","1.0","Pb","1.0","Cl, I","0.4, 2.6","TiO2","Au","FALSE","nip","Spin-coating","1500 rpm 30 s","","Spin-coating","2000 rpm 25 s","100 C 180 s","Spin-coating","1800 rpm 30 s","","Sputtering","100 nm"
"Ali Asgher Syed","2019/01/08","A sodium citrate-modified-PEDOT:PSS hole transporting layer for performance enhancement in inverted planar perovskite solar cells ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc06043f","10.1039/C8TC06043F","SLG | ITO","pedot:pss","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PC60BM","Ag","TRUE","pin","Spin-coating","","","Spin-coating","2500 rpm 50 s","","Spin-coating","1000 rpm 45 s","","Evaporation","100 nm"
"Jiali Peng","2019/01/21","Thick junction photodiodes based on crushed perovskite crystal/polymer composite films  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc06167j","10.1039/C8TC06167J","SLG | ITO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","C70","Cu","FALSE","pin","Spin-coating","3000 rpm 30 s","","Spin-coating","","","","","","Evaporation","60 nm"
"Fan Zhang","2019/02/16","Two-dimensional organic–inorganic hybrid perovskite field-effect transistors with polymers as bottom-gate dielectrics  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc06249h","10.1039/C8TC06249H","SLG | ITO","P3HT","(PEA)2SnI4","PEASnI","PEA","2.0","Sn","1.0","I","4.0","UNKNOWN","Au","FALSE","","","","","Spin-coating","4000 rpm 30 s","100 C 15 min","","","","Evaporation","80 nm"
"Maryte Daskeviciene","2019/02/06","Molecular engineering of enamine-based small organic compounds as hole-transporting materials for perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc06297h","10.1039/C8TC06297H","SLG | FTO","spiro-ometad","Cs0.1(MA0.15FA0.85)0.9Pb(I0.85Br0.15)","","","","","","","","TiO2","Au","FALSE","nip","","","","Spin-coating","2000 rpm 10 s 5000 rpm 30 s","","","","","Evaporation","70 nm"
"Dibyashree Koushik","2019/02/04","On the effect of atomic layer deposited Al 2 O 3 on the environmental degradation of hybrid perovskite probed by positron annihilation spectroscopy  ","https://pubs.rsc.org/en/content/articlehtml/2019/tc/c8tc06330c","10.1039/C8TC06330C","SLG | ITO","UNKNOWN","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","Al2O3","Al","FALSE","","","","","Spin-coating","3000 rpm 60 s","130 C 10 min","","","","Sputtering",""
"Shengfan Wu","2019/03/19","Efficient large guanidinium mixed perovskite solar cells with enhanced photovoltage and low energy losses  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc00016j","10.1039/C9CC00016J","SLG | ITO","spiro-ometad","Cs0.1(FA0.83MA0.17)0.9Pb(I0.83Br0.17)3","CsFAMAPbIBr","MA, FA, Cs","0.15, 0.75, 0.1","Pb","1.0","Br, I","0.51, 2.49","SnO2","Ag","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","4000 rpm 30 s","","","","","Evaporation","100 nm"
"Xiaopeng Duan","2019/03/05","A bendable nickel oxide interfacial layer via polydopamine crosslinking for flexible perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc00479c","10.1039/C9CC00479C","PET | ITO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","","TRUE","pin","Spin-coating","2000 rpm 30 s","120 C 30 min","Spin-coating","","","","","","",""
"Fengxia Wei","2019/03/06","Enhanced visible light absorption for lead-free double perovskite Cs 2 AgSbBr 6  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc01134j","10.1039/C9CC01134J","SLG | FTO","spiro-ometad","Cs2AgSbBr6","","","","","","","","TiO2","Au","FALSE","nip","","","","Spin-coating","6000 rpm 30 seconds","","Spin-coating","","","Evaporation","100 nm"
"Mustafa Haider","2019/04/17","Nickel phthalocyanine as an excellent hole-transport material in inverted planar perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc01266d","10.1039/C9CC01266D","SLG | ITO","CuPc","MA0.21FA0.78Pb(I0.78Br0.21)3","MAFAPbIBr","FA, MA","0.78, 0.21","Pb","1.0","Br, I","0.63, 2.34","PCBM","Ag","TRUE","","","","","","","","","","","Evaporation","80-120 nm"
"Raihana Begum","2019/04/09","Stable Sn 2+ doped FAPbI 3 nanocrystals for near-infrared LEDs  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc01526d","10.1039/C9CC01526D","SLG | ITO","pedot:pss","FAPbI3","FAPbI","FA","1.0","Pb","1.0","I","3.0","UNKNOWN","Al","FALSE","pin","Spin-coating","4000 rpm 1 min","130 C 10 min","Spin-coating","500 rpm 1 min","","","","","Evaporation","80 nm"
"Jiayuan Zhao","2019/07/16","Synergistic interface and compositional engineering of inverted perovskite solar cells enables highly efficient and stable photovoltaic devices  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc04364k","10.1039/C9CC04364K","SLG | ITO","NiO","UNKNOWN","","","","","","","","C60","Ag","FALSE","pin","","","","Spin-coating","1000 rpm 10 s","","","","","Evaporation","100 nm"
"Dan Liu","2019/08/19","A polar-hydrophobic ionic liquid induces grain growth and stabilization in halide perovskites  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc05490a","10.1039/C9CC05490A","SLG | FTO","spiro-meotad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","SnO2","Au","FALSE","nip","Spin-coating","3000 rpm 30 s","","Spin-coating","4000 rpm 20 s","","","","","Evaporation","100 nm"
"Jinzi Sun","2019/09/06","Reversible self-powered fluorescent electrochromic windows driven by perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc05779j","10.1039/C9CC05779J","SLG | ITO","MoO3","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","","","","","","","Evaporation","60-100 nm"
"Jiang-Yang Shao","2019/10/14","Introducing fluorene into organic hole transport materials to improve mobility and photovoltage for perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc06155j","10.1039/C9CC06155J","SLG | ITO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","SnO2","Au","FALSE","nip","","","","","","","","","","Evaporation","60-100 nm"
"Ravulakollu Srinivasa Rao","2019/09/25","Butterfly architecture of NIR Aza-BODIPY small molecules decorated with phenothiazine or phenoxazine  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc06300e","10.1039/C9CC06300E","SLG | ITO","pedot:pss","UNKNOWN","","","","","","","","PFN","Al","FALSE","pin","Spin-coating","3500 rpm 20 min","","","","","","","","Evaporation","80-120 nm"
"Jie Dou","2019/11/07","Highly efficient Zn 2 SnO 4 perovskite solar cells through band alignment engineering  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc07398a","10.1039/C9CC07398A","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","zn2sno4","Au","FALSE","nip","Spin-coating","4000 rpm 30 s","","Spin-coating","1000 rpm 20 s","","Spin-coating","3000 rpm 30 s","","Evaporation","60-100 nm"
"Tun Wang","2019/11/18","Hierarchy of interfacial passivation in inverted perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2019/cc/c9cc07517h","10.1039/C9CC07517H","SLG | FTO","NiOx","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","PCBM","Ag","FALSE","pin","Spin-coating","4000 rpm 30 s","70 C 10 min","Spin-coating","500 rpm 12 s 4000 rpm 30 s","","Spin-coating","2000 rpm 30 s","","Evaporation","80-120 nm"
"Jungwon Kim","2019/12/02","Fluorine plasma treatment on carbon-based perovskite solar cells for rapid moisture protection layer formation and performance enhancement  ","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc07785e","10.1039/C9CC07785E","SLG | FTO","spiro-ometad","Cs0.05MA0.16FA0.79Pb(I0.84Br0.16)3","CsMAFAPbIBr","FA, MA, Cs","0.79, 0.16, 0.05","Pb","1.0","Br, I","0.48, 2.52","TiO2","carbon","FALSE","","","","","","","","","","","Evaporation","80-120 nm"
"Jinbo Wu","2019/12/04","Reconstructed transparent conductive layers of fluorine doped tin oxide for greatly weakened hysteresis and improved efficiency of perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc08102j","10.1039/C9CC08102J","SLG | FTO","spiro-ometad","UNKNOWN","","","","","","","","SnO2","Au","FALSE","nip","Spin-coating","5000 rpm 30 s","","Spin-coating","3000 rpm 30 s","","","","","Evaporation","80 nm"
"Yinyi Huang","2020/05/19","Interfacial modification by multifunctional octocrylene for high efficiency and stable planar perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc09075d","10.1039/C9CC09075D","SLG | ITO","spiro-ometad","UNKNOWN","","","","","","","","SnO2","Au","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","2300 rpm 30 s","150 C 15 min","Spin-coating","4000 rpm 30 s","150 C 30 min","Evaporation","80 nm"
"Ze Wang","2020/03/18","Preparation of textured and transparent BiVO 4 photoelectrodes based on Mo-doped BiVO 4 nanoparticles for constructing a stand-alone tandem water splitting device  ","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc09305b","10.1039/C9CC09305B","SLG | FTO","P3HT","CsPbBrI2","CsPbBrI","Cs","1.0","Pb","1.0","I, Br","2.0, 1.0","TiO2","Ag","FALSE","","Spin-coating","2500 rpm 25 s","200 C 5 min","","","","Spin-coating","2000 rpm 20 min","450 C 20 min","Evaporation","60-100 nm"
"Siwen Tao","2019/12/23","Organic–inorganic hybrid (CH 3 NH 3 ) 2 FeCuI 4 Cl 2 and (CH 3 NH 3 ) 2 InCuI 6 for ultraviolet light photodetectors  ","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc09408c","10.1039/C9CC09408C","SLG | FTO","CuI","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Au","FALSE","","","","","","","","","","","Evaporation","60-100 nm"
"Xianfu Zhang","2020/02/03","Fused tetraphenylethylene–triphenylamine as an efficient hole transporting material in perovskite solar cells  ","https://pubs.rsc.org/en/content/articlehtml/2020/cc/c9cc09901h","10.1039/C9CC09901H","SLG | FTO","spiro-ometad","(FAPbI3)0.85(MAPbBr3)0.15","FAPbIMAPbBr","MA, FA","0.15, 0.85","Pb, Pb","0.15, 0.85","Br, I","0.45, 2.55","TiO2","Au","FALSE","nip","Spin-coating","","","Spin-coating","","","Spin-coating","4500 rpm 30 s","500 C 30 min","Evaporation","60-100 nm"
"Zhongli Guo","2019/07/05","Improving the performance of lead acetate-based perovskite solar cells via solvent vapor annealing  ","https://pubs.rsc.org/en/content/articlehtml/2019/ce/c9ce00724e","10.1039/C9CE00724E","SLG | FTO","spiro-ometad","MAPbI3","MAPbI","MA","1.0","Pb","1.0","I","3.0","TiO2","Ag","FALSE","nip","Spin-coating","4000 rpm 20 s","","Spin-coating","4000 rpm 55 s","","Spin-coating","2000 rpm 50 s","","Sputtering","80-120 nm"
